year,country,happiness_score,gdp_per_capita,social_support,health,freedom,trust,generosity
2020,Finland,7.769,1.34,1.587,0.986,0.596,0.393,0.153
2020,Denmark,7.6,1.383,1.573,0.996,0.592,0.41,0.252
2020,Norway,7.554,1.488,1.582,1.028,0.603,0.341,0.271
2020,Iceland,7.494,1.38,1.624,1.026,0.591,0.118,0.354
2020,Netherlands,7.488,1.396,1.522,0.999,0.557,0.298,0.322
2020,Switzerland,7.48,1.452,1.526,1.052,0.572,0.343,0.263
2020,Sweden,7.343,1.387,1.487,1.009,0.574,0.373,0.267
2020,New Zealand,7.307,1.303,1.557,1.026,0.585,0.38,0.33
2020,Canada,7.278,1.365,1.505,1.039,0.584,0.308,0.285
2020,Austria,7.246,1.376,1.475,1.016,0.532,0.226,0.244
2020,Australia,7.228,1.372,1.548,1.036,0.557,0.29,0.332
2020,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.093,0.144
2020,Israel,7.139,1.276,1.455,1.029,0.371,0.082,0.261
2020,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.316,0.194
2020,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.278,0.348
2020,Ireland,7.021,1.499,1.553,0.999,0.516,0.31,0.298
2020,Germany,6.985,1.373,1.454,0.987,0.495,0.265,0.261
2020,Belgium,6.923,1.356,1.504,0.986,0.473,0.21,0.16
2020,United States,6.892,1.433,1.457,0.874,0.454,0.128,0.28
2020,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.036,0.046
2020,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.182,0.262
2020,Malta,6.726,1.3,1.52,0.999,0.564,0.151,0.375
2020,Mexico,6.595,1.07,1.323,0.861,0.433,0.073,0.074
2020,France,6.592,1.324,1.472,1.045,0.436,0.183,0.111
2020,Taiwan,6.446,1.368,1.43,0.914,0.351,0.097,0.242
2020,Chile,6.444,1.159,1.369,0.92,0.357,0.056,0.187
2020,Guatemala,6.436,0.8,1.269,0.746,0.535,0.078,0.175
2020,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.132,0.08
2020,Qatar,6.374,1.684,1.313,0.871,0.555,0.167,0.22
2020,Spain,6.354,1.286,1.484,1.062,0.362,0.079,0.153
2020,Panama,6.321,1.149,1.442,0.91,0.516,0.054,0.109
2020,Brazil,6.3,1.004,1.439,0.802,0.39,0.086,0.099
2020,Uruguay,6.293,1.124,1.465,0.891,0.523,0.15,0.127
2020,Singapore,6.262,1.572,1.463,1.141,0.556,0.453,0.271
